Name,Position,Appearances,Clean sheets,Goals Conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks
Gustavo Hamer,Midfielder,36,,,39,54%,,15,29,32,11,,162,90,154,28,6,16,,0,6,982,27.28,10,115,29%,5,42,9,0,50,6,4,0,3,1,0,0.11,0,0,49,15,31%,1,,,,,,,,
Micah Hamilton,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Oliver Hammond,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Owen Hampson,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Isak Hansen-Aaröen,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Luke Harris,Midfielder,1,,,1,100%,,0,0,0,0,,3,3,5,0,0,0,,0,0,14,14.00,0,0,0%,0,0,0,0,2,0,0,0,0,0,0,0.00,0,0,1,1,100%,1,,,,,,,,
Ollie Harrison,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Taylor Harwood-Bellis,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Daiki Hashioka,Defender,10,0,21,11,45%,0,1,8,20,8,0,26,30,35,1,13,12,2,0,0,254,25.40,1,9,33%,0,9,0,0,10,0,0,0,0,0,0,,,,,,,,,,,,,,,
Kortney Hause,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Kai Havertz,Midfielder,37,,,35,43%,,18,20,22,19,,122,197,220,16,105,105,,0,7,932,25.19,8,12,17%,2,8,11,0,49,15,13,3,3,7,1,0.35,1,0,69,28,41%,13,,,,,,,,
Isaac Hayden,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Tom Heaton,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Ayden Heaven,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Krisztián Hegyi,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Karl Hein,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Dean Henderson,Goalkeeper,18,4,30,,,,,,,,,,,,,,,1,1,0,430,23.89,,,,,65,2,0,0,,0,,,,,,,,,,,,58,0,14,2,1,11,52,105
Jeff Hendrick,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Wayne Hennessey,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Rico Henry,Defender,5,1,5,7,71%,0,0,5,5,3,0,24,24,18,7,4,6,0,1,1,156,31.20,2,11,18%,0,8,1,0,4,2,0,0,0,0,0,,,,,,,,,,,,,,,
Travis Hernes,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Yangel Herrera,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Owen Hesketh,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Aaron Hickey,Defender,9,0,12,16,56%,0,2,3,10,8,0,42,38,29,5,2,9,0,0,0,252,28.00,0,5,0%,1,9,5,0,10,0,0,0,0,0,0,,,,,,,,,,,,,,,
James Hill,Defender,5,0,1,3,67%,0,0,3,8,5,0,7,7,4,0,4,1,0,0,0,34,6.80,0,0,0%,0,3,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
James Hillson,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Jack Hinchy,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Jack Hinshelwood,Midfielder,12,,,14,36%,,1,14,16,8,,33,24,33,0,7,8,,0,0,435,36.25,1,10,20%,0,5,1,0,11,1,3,2,1,0,1,0.25,0,0,14,8,57%,3,,,,,,,,
Joe Hodge,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Ki-Jana Hoever,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Rob Holding,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Mason Holgate,Defender,10,0,22,12,58%,0,1,11,39,21,0,30,26,24,1,9,7,0,0,0,165,16.50,1,7,29%,0,10,3,1,8,0,0,0,0,0,1,,,,,,,,,,,,,,,
Fletcher Holman,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Thomas Holmes,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Ethan Horvath,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Justin Hubner,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Callum Hudson-Odoi,Forward,29,,,18,,,8,7,11,4,,,,,,,,,,1,647,22.31,4,74,,,,0,0,14,9,8,0,8,0,2,0.28,0,0,38,20,53%,2,,,,,,,,
Will Hughes,Midfielder,30,,,60,55%,,2,22,20,5,,121,111,109,9,12,18,,0,1,845,28.17,2,30,33%,2,10,6,0,39,1,0,0,0,0,0,0.00,0,0,8,3,38%,0,,,,,,,,
Joe Hugill,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Hugo Bueno,Defender,22,0,16,21,67%,0,4,6,20,11,0,37,44,50,8,9,12,1,0,0,330,15.00,2,29,34%,0,4,1,0,7,1,0,0,0,0,0,,,,,,,,,,,,,,,
Bashir Humphreys,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Mackenzie Hunt,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
James Huntley,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Omari Hutchinson,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Hwang Hee-Chan,Forward,29,,,20,,,10,10,8,3,,,,,,,,,,3,530,18.28,4,11,,,,6,0,31,15,12,2,8,2,2,0.41,1,0,45,18,40%,8,,,,,,,,
Hwang Ui-Jo,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Pierre-Emile Højbjerg,Midfielder,36,,,32,56%,,8,19,27,12,,121,69,72,12,8,13,,1,0,"1,383",38.42,3,14,7%,2,75,4,0,20,0,0,0,0,0,1,0.00,0,0,19,6,32%,0,,,,,,,,
Rasmus Højlund,Forward,30,,,11,,,5,1,19,12,,,,,,,,,,2,391,13.03,0,6,,,,2,0,20,15,10,0,4,5,0,0.33,0,0,38,21,55%,13,,,,,,,,
Bradley Ibrahim,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Igor Julio,Defender,24,2,26,25,72%,0,2,14,45,18,1,105,71,56,16,26,14,0,0,0,"1,417",59.04,1,1,0%,2,23,4,0,21,0,0,0,0,0,0,,,,,,,,,,,,,,,
Danny Imray,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Danny Ings,Forward,20,,,6,,,5,3,6,4,,,,,,,,,,0,105,5.25,0,1,,,,1,0,4,1,1,0,1,0,1,0.05,0,0,12,4,33%,1,,,,,,,,
Tim Iroegbunam,Midfielder,9,,,7,71%,,0,2,2,1,,15,14,19,3,2,0,,0,0,55,6.11,0,0,0%,0,0,0,0,9,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Andy Irving,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Alexander Isak,Forward,30,,,5,,,14,6,12,5,,,,,,,,,,2,474,15.80,5,10,,,,1,0,14,17,21,1,19,1,2,0.70,5,0,78,43,55%,21,,,,,,,,
Harry Isted,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Ivan Cavaleiro,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Alex Iwobi,Forward,32,,,31,,,18,15,6,1,,,,,,,,,,2,"1,012",31.63,5,70,,,,2,0,12,8,5,0,4,1,1,0.16,0,0,55,20,36%,2,,,,,,,,
Ben Jackson,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Jacob Murphy,Midfielder,21,,,20,50%,,9,6,13,8,,66,52,58,13,4,10,,0,7,421,20.05,10,77,22%,10,7,1,0,7,1,3,0,3,0,0,0.14,0,0,30,10,33%,3,,,,,,,,
Reece James,Defender,10,0,11,14,64%,0,2,3,7,5,0,28,36,21,9,8,5,0,0,2,267,26.70,7,28,25%,4,14,0,2,4,2,0,0,0,0,0,,,,,,,,,,,,,,,
Jamie Miley,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Vitaly Janelt,Midfielder,38,,,63,60%,,8,36,57,17,,189,133,100,8,34,27,,1,3,"1,306",34.37,5,59,34%,4,60,8,0,27,3,1,0,0,1,1,0.03,0,0,21,7,33%,2,,,,,,,,
Pontus Jansson,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Vítezslav Jaros,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Daniel Jebbison,Forward,1,,,0,,,0,0,0,0,,,,,,,,,,0,3,3.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Mathias Jensen,Midfielder,32,,,54,59%,,3,23,24,8,,123,96,148,18,6,11,,0,3,972,30.38,9,113,38%,8,82,5,0,28,2,3,0,2,1,0,0.09,0,1,14,7,50%,0,,,,,,,,
Raúl Jiménez,Forward,24,,,18,,,10,4,13,10,,,,,,,,,,0,373,15.54,3,7,,,,3,1,17,12,7,2,5,0,2,0.29,0,0,41,17,41%,4,,,,,,,,
João Cancelo,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
João Félix,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
João Gomes,Midfielder,34,,,128,58%,,11,18,29,16,,183,211,211,26,19,26,,0,1,"1,237",36.38,2,25,48%,7,31,11,0,66,1,2,1,1,0,2,0.06,0,0,26,8,31%,1,,,,,,,,
João Moutinho,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
João Palhinha,Midfielder,33,,,152,49%,,12,46,54,22,,195,259,166,11,41,31,,0,1,"1,321",40.03,1,5,20%,6,80,13,0,52,2,4,2,2,0,1,0.12,0,0,45,14,31%,4,,,,,,,,
João Pedro,Forward,31,,,31,,,30,11,25,17,,,,,,,,,,3,774,24.97,9,29,,,,2,0,19,11,9,3,6,0,1,0.29,4,0,75,26,35%,9,,,,,,,,
João Virgínia,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Joelinton,Forward,20,,,39,,,4,19,10,9,,,,,,,,,,1,616,30.80,5,2,,,,6,0,28,0,2,0,2,0,1,0.10,0,0,19,9,47%,3,,,,,,,,
Kyle John,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Joe Johnson,Defender,2,0,5,0,0%,0,0,0,0,0,0,3,0,4,0,0,1,0,0,0,34,17.00,0,0,0%,0,5,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
Sam Johnstone,Goalkeeper,20,6,27,,,,,,,,,,,,,,,0,0,0,532,26.60,,,,,139,1,0,1,,0,,,,,,,,,,,,41,0,8,23,1,6,62,141
Curtis Jones,Midfielder,23,,,27,52%,,7,7,7,2,,72,63,84,15,7,12,,0,1,750,32.61,0,4,25%,4,12,3,1,16,5,1,0,1,0,0,0.04,0,0,19,6,32%,1,,,,,,,,
Jonny,Defender,1,0,0,0,0%,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Jorginho,Midfielder,24,,,24,42%,,2,12,7,2,,49,48,35,2,7,7,,1,2,773,32.21,2,3,33%,5,38,1,0,9,0,0,0,0,0,0,0.00,0,0,4,0,0%,0,,,,,,,,
José Sá,Goalkeeper,35,4,58,,,,,,,,,,,,,,,0,3,1,904,25.83,,,,,108,1,0,0,,0,,,,,,,,,,,,134,0,9,37,6,15,190,253
Marc Jurado,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Issa Kaboré,Defender,24,0,39,52,54%,0,2,16,46,16,1,102,117,92,18,18,20,1,1,2,540,22.50,5,66,21%,1,16,7,0,27,2,0,0,0,0,0,,,,,,,,,,,,,,,
Sasa Kalajdzic,Forward,11,,,6,,,0,1,6,5,,,,,,,,,,0,59,5.36,2,1,,,,1,0,6,2,2,0,1,0,0,0.18,0,0,4,2,50%,1,,,,,,,,
Boubacar Kamara,Midfielder,20,,,43,67%,,1,21,15,7,,97,105,108,14,20,25,,0,1,"1,024",51.20,1,2,0%,6,41,7,1,35,0,0,0,0,0,0,0.00,0,0,5,1,20%,0,,,,,,,,
Willy Kambwala,Defender,8,0,10,3,33%,0,0,4,12,7,0,12,11,11,0,6,2,0,1,0,191,23.88,0,0,0%,0,5,1,0,4,0,0,0,0,0,0,,,,,,,,,,,,,,,
Thomas Kaminski,Goalkeeper,38,2,85,,,,,,,,,,,,,,,0,1,0,"1,310",34.47,,,,,312,3,0,0,,0,,,,,,,,,,,,145,0,8,15,5,32,150,341
Harry Kane,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
N'Golo Kanté,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Michal Karbownik,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Loris Karius,Goalkeeper,1,0,4,,,,,,,,,,,,,,,0,0,0,31,31.00,,,,,3,0,0,0,,0,,,,,,,,,,,,4,0,0,1,0,2,5,9
Leigh Kavanagh,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Hayao Kawabe,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Michael Keane,Defender,9,1,13,7,43%,0,1,5,18,8,0,26,25,25,2,16,11,0,1,0,220,24.44,0,0,0%,0,17,2,0,5,0,1,0,1,0,1,,,,,,,,,,,,,,,
Neeskens Kebano,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Josh Keeley,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Thilo Kehrer,Defender,4,0,1,1,100%,0,0,0,0,0,0,0,2,4,0,1,2,0,0,0,7,1.75,0,0,0%,0,0,2,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,
Naby Keïta,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Caoimhín Kelleher,Goalkeeper,10,2,11,,,,,,,,,,,,,,,0,1,0,387,38.70,,,,,44,0,0,0,,0,,,,,,,,,,,,28,0,3,4,1,4,52,28
Lloyd Kelly,Defender,23,4,32,24,79%,0,0,13,59,26,0,121,67,52,2,28,18,0,0,1,772,33.57,2,21,24%,1,55,2,0,17,0,0,0,0,0,0,,,,,,,,,,,,,,,
Omari Kellyman,Midfielder,2,,,1,0%,,1,0,0,0,,2,1,2,0,0,1,,0,0,7,3.50,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1,0,0%,0,,,,,,,,
Kepa,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Milos Kerkez,Defender,28,2,37,47,55%,0,5,20,56,23,0,93,98,88,12,18,32,1,1,1,627,22.39,3,55,20%,1,22,4,1,25,1,0,0,0,0,1,,,,,,,,,,,,,,,
Kaine Kesler-Hayden,Defender,3,0,0,0,0%,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Aaron Keto-Diyawa,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Reda Khadra,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Gavin Kilkenny,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Maximilian Kilman,Defender,38,5,65,47,45%,0,2,39,179,101,3,177,161,94,10,89,36,0,0,0,"2,286",60.16,4,6,17%,2,144,7,0,38,2,2,0,0,2,0,,,,,,,,,,,,,,,
Kim Ji-Soo,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Joshua King,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Max Kinsey,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Jakub Kiwior,Defender,20,5,8,20,60%,0,2,8,24,13,0,35,40,29,2,16,11,0,0,3,544,27.20,1,12,25%,1,21,1,0,10,0,1,1,0,0,0,,,,,,,,,,,,,,,
Justin Kluivert,Forward,32,,,28,,,22,8,10,3,,,,,,,,,,1,381,11.91,1,29,,,,5,0,52,5,7,0,5,2,1,0.22,0,0,56,20,36%,7,,,,,,,,
Ben Knight,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Jacob Knightbridge,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Anthony Knockaert,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Luca Koleosho,Forward,15,,,7,,,6,2,0,0,,,,,,,,,,1,246,16.40,2,23,,,,0,0,18,8,1,0,1,0,1,0.07,0,0,23,5,22%,3,,,,,,,,
Yunus Konak,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Ibrahima Konaté,Defender,22,5,18,36,61%,1,1,20,51,31,0,97,132,68,6,77,31,0,1,0,"1,449",65.86,1,1,0%,5,47,3,1,25,0,0,0,0,0,0,,,,,,,,,,,,,,,
Terence Kongolo,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Ezri Konsa,Defender,35,6,54,54,59%,3,5,28,68,29,0,142,167,53,19,30,14,0,2,0,"1,953",55.80,1,17,24%,1,46,5,0,14,0,1,0,1,0,0,,,,,,,,,,,,,,,
Kalidou Koulibaly,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Lewis Koumas,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Cheikhou Kouyaté,Midfielder,12,,,8,63%,,0,2,9,6,,14,21,21,1,10,10,,0,0,73,6.08,0,0,0%,0,0,2,0,6,0,0,0,0,0,0,0.00,0,0,5,1,20%,1,,,,,,,,
Mateo Kovacic,Midfielder,30,,,36,69%,,11,10,10,4,,72,75,62,20,4,4,,0,0,"1,523",50.77,3,0,0%,4,20,4,0,17,0,1,0,1,0,0,0.03,0,0,22,5,23%,1,,,,,,,,
Matej Kovár,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Kacper Kozlowski,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Emil Krafth,Defender,17,2,15,21,67%,0,2,9,18,10,0,44,44,43,3,13,15,0,0,0,509,29.94,2,17,47%,0,6,2,0,10,0,0,0,0,0,1,,,,,,,,,,,,,,,
Tim Krul,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Mohammed Kudus,Midfielder,33,,,65,72%,,24,11,8,0,,212,279,252,124,15,29,,0,6,773,23.42,5,94,22%,3,44,6,0,39,16,8,0,4,4,2,0.24,0,0,67,17,25%,4,,,,,,,,
